GSM5356205	GSM5356206	GSM5356207	GSM5356208	GSM5356209	GSM5356210	GSM5356217	GSM5356218	GSM5356219	GSM5356220	GSM5356221	GSM5356222
A2M	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307235	0.276774587383127	-2.27669479307234	-2.27669479307235
NAT2	-0.529709072001092	-1.70114737628803	-1.18618068989194	-1.7843513588034	0.0150763609874521	-0.821611827639172	-0.985824190826442	-0.0702844877210384	-2.27669479307235	0.173413912666085	-0.629473166538034	-0.258929540250089
ACADM	7.42606467703981	7.73450539512089	7.55431391161786	7.30461018058771	7.29801740574593	7.43243585324586	7.63049578908309	7.57426167554913	6.9237678601201	7.80581048630749	7.49332485079333	7.44943481669283
ACADS	5.28955128326862	5.11710577886735	5.22887743214949	5.2278242763895	5.16055734538408	5.62438637603551	4.46605906100367	5.67072197850447	5.13232014327277	5.26620323131331	5.20749902271222	5.51634376269101
ACADVL	-2.27669479307235	4.34621096658781	-2.27669479307235	5.27549909237755	0.354508474127348	6.59657392871635	2.55560667156877	0.866217229986904	3.23168587405658	-1.41931846187227	2.67060557760867	3.046472450459
ACAT1	4.62743873407522	5.09592292540804	4.70486560861453	4.79812661190023	4.72166954747594	5.25953429088382	5.38909357904798	4.99615265010596	4.84621356260609	5.47078406338727	4.39220573316983	4.53071156600322
ACVRL1	-2.27669479307235	-2.27669479307235	-0.572266260004422	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235
PSEN1	5.81578561311348	6.57298553539344	7.06611874794281	6.41761322455438	5.19615402972841	6.55489676387635	6.03764804634235	6.29315783026593	6.22518840174753	6.89352609531111	6.1508277088175	5.64891948476698
ADA	1.8522549054186	2.47727706341553	2.53621296596365	2.41318635928511	2.75034875356692	1.24062369480817	1.80347871929091	1.42937700834372	1.62494927466957	1.61079036796072	1.19948169741481	1.63288413117143
SGCA	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235
ADRB2	5.4490255095857	5.28747940088683	5.05770247278541	5.96548943839578	5.9776976139082	5.59607807184549	6.33485398313489	6.23241950569754	6.84260990865551	5.70192235496936	5.59338378012056	6.51507447593857
ADRB3	-2.27669479307235	-2.27669479307235	-1.63076304324023	-2.27669479307235	-1.75770442008691	-1.61624582377998	-1.70890384899128	-2.27669479307235	-2.27669479307235	-2.27669479307235	-1.66026690847305	-2.27669479307235
