control 1	control 2	control 3	control 4	control 5	control 6	IL-17+TNFa 1	IL-17+TNFa 2	IL-17+TNFa 3	IL-17+TNFa 4	IL-17+TNFa 5	IL-17+TNFa 6
A1BG	0.278474751351644	-1.07593229780528	-0.428280514455763	-0.147952553194871	-0.128834118681905	-0.284462043815684	0.379705825836761	-0.414877361583538	-0.442843298456208	-0.548126853562259	-0.402266478228609	-1.10449778234514
A1CF	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093547
A2M	-3.15400561093548	0.464057164236258	-0.178983044149994	-0.844707127618974	0.174402903847448	0.39740906385554	-0.202887154780981	0.0333702747901616	-3.15400561093547	-2.14141950301772	-0.747614731535787	0.287937628933767
A2ML1	2.95575820572019	0.464057164236258	2.68265739321343	1.54961160980737	1.9471299792043	0.317616608126416	2.83525163362671	3.81732197353066	3.57963768737624	3.83086009700888	3.55629227285885	2.2319573281581
A3GALT2	-3.15400561093548	-3.15400561093548	-3.15400561093548	-2.24388355770001	-2.1889732147773	-3.15400561093548	-2.58746989355282	-2.66294651762884	-3.15400561093547	-2.56064018328506	-3.15400561093548	-2.23025394200085
A4GALT	6.44293165959648	5.70717386874069	6.02425442040245	5.80272285877044	6.42902141909376	6.44645533331518	5.83994886438635	5.01223905937093	6.37640860801173	6.17594013771902	6.0324888873323	5.32446948882142
A4GNT	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-2.44839575428493	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093547
AAAS	5.49197911176139	5.45273203494343	5.63823619633	5.41561128108899	5.49987595335159	5.67234820883737	5.43759339833542	5.56669820470834	6.01686692352058	5.6490782818652	5.48841565548085	5.48403069002861
AACS	5.61473134135691	5.59998460725892	5.24642806509173	5.4744866226633	5.81972210611741	6.30491148693944	4.70311883599278	4.21067547643151	4.6211480918862	5.63752960604029	5.79085501395309	5.34428878365572
AADAC	-0.796508192614486	-3.15400561093548	-3.15400561093548	-3.15400561093547	0.481201807586768	-0.716821201112809	-1.86541708036361	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093547
AADACL2	0.530680463896658	-0.609608225076223	-0.298253645231077	-1.4768306262907	-1.20678006468695	0.143431568666234	-0.74023063144425	-1.21352540208995	-1.23781750405501	-1.32870396688294	-3.15400561093548	-0.381956673166586
AADACL3	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093547
AADACL4	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093547
AADAT	1.56103316077798	1.1918574366166	2.17886285521061	1.2534629116486	1.90654550847545	2.28115195349432	1.46465551430879	1.41321557104989	1.79841401392953	0.913945211855509	1.564676301594	2.15243195137426
AAGAB	6.50681392349888	6.42274633814528	6.47663395824155	6.21990479832819	6.35930804099851	6.33814932319519	6.44648819863542	6.44036903659476	6.30768541840765	6.00928545792732	6.29570231125973	6.84862738095446
AAK1	4.97496828579262	4.87358329574231	4.66758302594386	4.93935271105086	5.05619464550481	5.35271650176841	4.84277568931951	4.44293867661915	4.8347424123445	4.73203778592955	4.74116655998137	4.49411363666141
AAMDC	3.42123015570526	3.48726828830403	3.3512314780358	3.09718292916522	3.23544659273524	3.80765759877328	2.96071045745465	2.89653263495207	2.88858039715535	2.34623271767265	2.27422930512445	2.92983818783385
AAMP	7.16582802678942	7.09820494393282	7.26508067180756	7.14774071101361	7.16433818728547	7.31484456079153	6.99827520469951	7.08355320415923	7.21883709035249	7.15644006166672	7.10512971691244	7.04637027529933
AANAT	-3.15400561093548	-2.5338212663461	-3.15400561093548	-3.15400561093547	-2.1889732147773	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093547
AAR2	6.03235048335995	6.18980737867772	6.18159164395066	5.90970418074265	5.83872126989438	6.04176979259595	6.0498289914928	6.00768443703084	6.10311999211313	6.10942135379467	5.99168095486922	6.12410942498738
AARD	-2.55411584105492	-2.5338212663461	-2.4545599573671	-3.15400561093547	-2.1889732147773	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-2.23025394200085
AARS1	7.2702077463738	7.4187522432546	7.52706256619312	7.09451521378041	7.25956063250311	7.53314097483826	7.50770290934215	7.40533920272625	7.44572409340467	7.86398389662875	7.83349663120952	7.77777497740842
AARS2	4.13320650970374	4.4243545249727	4.27178359423409	4.39251652582596	4.0839873627418	4.80917115154526	4.18264985875197	4.1527377621875	4.73696193849092	4.53271314408596	4.49545979966293	4.24471128754912
AARSD1	4.71667686251774	4.63869630591269	4.77489523137393	4.51910013717161	4.43376124573454	4.71108968607434	4.86434590950299	4.87340440954198	5.16809462380148	4.62916619615614	4.76984405143287	4.93296229805377
AASDH	4.69102482534274	5.10111542840303	5.11254346423604	4.75638659596813	4.74702319872057	5.00973341318896	4.49070680294579	4.79981279832606	4.84729305999714	4.49664078276168	4.24887893569066	5.08205208396695
AASDHPPT	6.14291455835755	6.24823059735217	6.41871466302715	6.10556422217667	6.0779443861834	6.26425417600062	6.36182025583066	6.50691672930333	6.21509074829404	5.93035563899478	6.04662045828452	6.53412776717311
AASS	2.88963846084284	3.72305799808536	4.3581366026411	3.77022510139092	3.70060021439952	3.72501726910999	3.36801921825038	4.05727808694945	4.21920894125413	3.74121008951933	3.56940227169042	2.48663823520302
AATF	4.9235770689888	5.09348697321197	5.20316583460553	5.21729744679548	5.1285592852195	5.27298720569812	5.03810791739452	5.09916680841605	5.39234306236185	5.20189746405755	5.00270741030316	5.00264550176097
AATK	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-2.59226042358828	-1.97661856553436	-3.15400561093548	-3.15400561093548	-3.15400561093547	-1.81698730928964	-3.15400561093548	-2.61942497858341
ABAT	3.25611368759676	3.34888111780422	3.28014981646043	3.06348828741225	3.19389158786323	3.80033742398695	2.20072648697988	2.34414672847373	2.82654734161913	2.3783062031983	2.45462763198062	2.59888964516631
ABCA1	-2.55411584105492	2.76759601655079	-2.4545599573671	-2.62833536174735	2.90550990967853	-3.15400561093548	2.1312518410137	3.19089922604531	2.38507933540958	-3.15400561093548	2.42608456893833	-2.61942497858341
ABCA10	1.69611575839093	2.17534136319704	2.17886285521061	1.98713998930682	2.33132261968159	2.23845620753451	1.81411633503476	2.41978609030276	2.03622746982992	1.82445232673645	1.73723994825833	1.9603229894122
ABCA12	3.59726203533866	1.5598201676513	1.93624138204352	2.76118784969726	2.70711707031763	2.66651505660642	6.08929123269046	5.09724824454278	5.52910628863604	5.65727110048283	5.55418863057718	4.83193501281867
ABCA13	7.41041851304063	6.82097961085723	7.33751573781291	6.54997794704983	7.57451289490827	7.65786271294333	8.35796746146838	8.05875925174387	7.40332427764045	7.9188515694356	8.87548503417313	8.79322297750592
ABCA2	3.71648452333232	3.72305799808536	4.33827832915895	1.81558487264279	3.77011305151099	4.49686195026352	3.66084527391323	1.08179463739779	4.00067580558842	3.04063761650618	2.58944073687235	2.4202832580977
ABCA3	2.83212522651446	2.74180112410897	2.06264639881907	2.5091981703119	2.82068379682121	3.32685318896306	1.28438135259475	0.951928093090318	1.74575726760444	1.89266084238575	1.61612178113662	1.88359595454994
